MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
115,-5.31,-9.44,297.94,0.00,0.00,180.00,-0.097,0.236,0.978,7.38,17.81,-34.00,8.08,28.0,25856.0000000,57600.0000000
116,-8.50,-10.25,300.31,0.00,0.00,180.00,-0.167,0.241,1.021,15.56,35.31,-31.75,8.08,28.0,25856.0000000,57600.0000000
117,-10.81,-11.06,301.62,0.00,0.00,180.00,-0.166,0.106,0.987,10.69,10.31,-4.56,8.08,28.0,25856.0000000,57600.0000000
118,-10.75,-12.50,303.50,0.00,0.00,180.00,-0.117,0.128,0.878,13.81,-9.62,-6.00,8.08,28.0,25856.0000000,57600.0000000
119,-10.38,-13.31,304.31,0.00,0.00,180.00,-0.303,0.299,1.013,-3.69,-10.25,2.25,8.08,28.0,25856.0000000,57600.0000000
121,-7.00,-12.38,305.81,0.00,0.00,180.00,-0.234,0.244,0.958,1.88,0.25,-30.69,8.04,42.0,25856.0000000,57600.0000000
123,-8.81,-10.94,309.69,0.00,0.00,180.00,-0.223,0.155,0.991,12.12,10.38,-25.25,8.04,42.0,25856.0000000,57600.0000000
125,-12.62,-11.75,310.94,0.00,0.00,180.00,-0.130,0.057,0.958,-15.69,8.50,13.44,8.04,42.0,25856.0000000,57600.0000000
126,-13.06,-11.44,310.50,0.00,0.00,180.00,-0.038,0.097,0.843,7.62,15.56,2.50,8.04,42.0,25856.0000000,57600.0000000
128,-12.88,-10.31,303.31,0.00,0.00,180.00,-0.107,0.092,0.889,-1.38,4.44,40.06,8.04,42.0,25856.0000000,57600.0000000
129,-12.12,-12.06,300.06,0.00,0.00,180.00,-0.160,0.273,0.905,9.19,-5.88,33.81,8.04,42.0,25856.0000000,57600.0000000
130,-12.38,-12.81,294.75,0.00,0.00,180.00,-0.123,0.255,0.907,-16.50,38.12,74.94,8.04,42.0,25856.0000000,57600.0000000
131,-15.44,-13.44,284.94,0.00,0.00,180.00,-0.329,0.263,0.979,-23.75,55.62,95.94,8.04,42.0,25856.0000000,57600.0000000
132,-16.00,-13.06,274.88,0.00,0.00,180.00,-0.245,0.029,0.833,-25.12,5.69,78.25,8.04,42.0,25856.0000000,57600.0000000
136,-9.38,-3.25,239.12,0.00,0.00,180.00,-0.186,-0.010,0.934,-9.19,0.44,74.44,8.04,42.0,25856.0000000,57600.0000000
137,-9.81,-2.88,230.81,0.00,0.00,180.00,-0.216,0.072,0.934,-35.88,7.62,107.12,8.04,42.0,25856.0000000,57600.0000000
138,-9.62,-2.00,221.25,0.00,0.00,180.00,-0.108,0.019,0.875,-13.50,6.31,76.06,8.04,42.0,25856.0000000,57600.0000000
140,-12.25,-1.00,207.38,0.00,0.00,180.00,-0.194,0.044,0.928,13.56,1.44,38.19,8.04,42.0,25856.0000000,57600.0000000
141,-12.75,-2.94,203.81,0.00,0.00,180.00,-0.281,0.161,0.976,1.69,14.56,54.94,8.12,28.5,25856.0000000,57600.0000000
142,-13.06,-3.31,200.38,0.00,0.00,180.00,-0.194,0.132,0.906,-4.69,-0.19,15.50,8.12,28.5,25856.0000000,57600.0000000
143,-13.19,-3.25,199.62,0.00,0.00,180.00,-0.212,0.048,0.933,5.69,1.81,-10.38,8.12,28.5,25856.0000000,57600.0000000
145,-13.69,-5.00,206.75,0.00,0.00,180.00,-0.292,0.088,0.932,21.44,-0.19,-49.94,8.12,28.5,25856.0000000,57600.0000000
146,-13.81,-6.00,211.62,0.00,0.00,180.00,-0.264,0.104,0.930,20.81,-7.00,-50.94,8.12,28.5,25856.0000000,57600.0000000
147,-14.38,-6.44,217.38,0.00,0.00,180.00,-0.251,0.130,0.897,14.25,5.50,-54.69,8.12,28.5,25856.0000000,57600.0000000
148,-15.56,-6.50,223.88,0.00,0.00,180.00,-0.304,0.154,0.903,23.56,-1.31,-85.00,8.12,28.5,25856.0000000,57600.0000000
149,-15.88,-6.12,233.31,0.00,0.00,180.00,-0.311,0.120,0.929,23.75,-18.38,-109.12,8.12,28.5,25856.0000000,57600.0000000
150,-15.00,-6.06,242.88,0.00,0.00,180.00,-0.250,0.019,0.964,36.00,-20.44,-105.44,8.12,28.5,25856.0000000,57600.0000000
